,ts_code,ann_date,end_date,bps,diluted_eps,diluted_roe,open_net_assets,operate_profit,total_assets,yoy_sales,yoy_tp
0,000001.SZ,20200114,20191231,,1.54,11.3,,36289000000.0,3939070000000.0,,
1,000005.SZ,20200418,20191231,,0.0387,2.72,,74986300.0,3122953500.0,,
2,000006.SZ,20200114,20191231,,0.5974,12.47,,1110393662.55,15725181921.77,,
3,000007.SZ,20200415,20191231,,0.07,11.83,,45424957.91,535928576.29,,
4,000008.SZ,20200415,20191231,,0.161,4.6,,549996448.11,12044543142.96,,
5,000010.SZ,20200415,20191231,,0.0626,11.53,,202576672.9,4318378109.7,,
6,000016.SZ,20200415,20191231,,0.0914,2.64,,308602487.14,42545148773.39,,
7,000017.SZ,20200415,20191231,,-0.013,-66.8,,-7973400.0,62734800.0,,
8,000020.SZ,20200414,20191231,,0.0207,1.8,,8246000.0,614509500.0,,
9,000023.SZ,20200415,20191231,,0.3663,11.12,,105037700.0,2519404000.0,,
10,000028.SZ,20200325,20191231,,2.97,10.43,,1835547500.0,33520609100.0,,
11,000040.SZ,20200415,20191231,,-0.641,-6.78,,-857628400.0,30994548500.0,,
12,000042.SZ,20200415,20191231,,1.1895,9.85,,1309274100.0,45238425300.0,,
13,000046.SZ,20200415,20191231,,0.2107,5.28,,2458609700.0,177872272500.0,,
14,000056.SZ,20200415,20191231,,0.04,0.94,,123348696.77,12464281568.6,,
15,000058.SZ,20200415,20191231,,0.0574,3.78,,165335262.45,6160292325.28,,
16,000066.SZ,20200415,20191231,,0.38,14.64,,1347086924.12,21783286566.83,,
17,000068.SZ,20200415,20191231,,0.0059,1.13,,8191151.65,3935607385.67,,
18,000070.SZ,20200415,20191231,,0.412,12.38,,409873331.92,7603395530.56,,
19,000088.SZ,20200219,20191231,,0.1878,5.28,,432246577.17,11000642497.67,,
20,000158.SZ,20200415,20191231,,0.07,1.79,,105595800.0,14159190500.0,,
21,000159.SZ,20200415,20191231,,0.0633,1.4,,33897875.07,2817121259.85,,
22,000402.SZ,20200415,20191231,,1.15,10.34,,5755924537.5,161989875785.91,,
23,000403.SZ,20200318,20191231,,0.6002,22.67,,178066229.44,1259205736.01,,
24,000408.SZ,20200415,20191231,,0.22,5.63,,555909000.0,9558628100.0,,
25,000410.SZ,20200415,20191231,,-3.75,-209.48,,-3012206400.0,7217814400.0,,
26,000415.SZ,20200416,20191231,,0.3,5.01,,3779440000.0,265537353000.0,,
27,000419.SZ,20200414,20191231,,0.3209,6.14,,249527600.0,5101938700.0,,
28,000426.SZ,20200415,20191231,,0.0575,1.99,,186851200.0,9273374500.0,,
29,000429.SZ,20200123,20191231,,0.6,13.09,,1801244303.24,17674545340.78,,
30,000430.SZ,20200415,20191231,,0.03,0.69,,31457463.48,2668026912.74,,
31,000498.SZ,20200116,20191231,,0.5761,12.12,,1106962300.0,31193319100.0,,
32,000501.SZ,20200410,20191231,,1.55,13.36,,1552884215.28,23618673834.34,,
33,000503.SZ,20200414,20191231,,0.0194,1.44,,16098308.56,1305210581.15,,
34,000504.SZ,20200415,20191231,,0.06,,,16416300.0,268152600.0,,
35,000506.SZ,20200415,20191231,,-0.0196,-1.73,,-71743900.0,2621884500.0,,
36,000516.SZ,20200415,20191231,,-0.2,-7.0,,-355367500.0,10439877300.0,,
37,000517.SZ,20200415,20191231,,0.5932,32.79,,2138006754.74,40052197902.0,,
38,000518.SZ,20200416,20191231,,0.0139,2.36,,28097869.03,915809102.08,,
39,000519.SZ,20200414,20191231,,0.183,3.19,,330053100.0,11011225400.0,,
40,000520.SZ,20200414,20191231,,0.0318,8.18,,34023322.36,622516373.48,,
41,000524.SZ,20200415,20191231,,0.39,9.92,,383214920.17,4768723782.09,,
42,000526.SZ,20200415,20191231,,0.1391,14.66,,47301725.0,3594423464.08,,
43,000530.SZ,20200408,20191231,,0.1,2.6,,63926285.74,5522333733.96,,
44,000531.SZ,20200331,20191231,,0.5987,10.09,,525065226.51,11628171908.41,,
45,000533.SZ,20200415,20191231,,0.004,0.48,,-29619100.0,2369300700.0,,
46,000537.SZ,20200307,20191231,,1.69,25.88,,4112271238.38,69914862743.2,,
47,000539.SZ,20200411,20191231,,0.22,4.77,,2544014307.0,75472027123.0,,
48,000545.SZ,20200408,20191231,,0.028,1.33,,39884141.66,3097639615.77,,
49,000550.SZ,20200123,20191231,,0.17,1.42,,-110593000.0,24298529000.0,,
50,000553.SZ,20200331,20191231,,0.1132,1.23,,529700000.0,45288940000.0,,
51,000558.SZ,20200415,20191231,,0.02,2.04,,33850351.74,2420031463.57,,
52,000559.SZ,20200415,20191231,,0.19,10.48,,584963748.75,12028177341.44,,
53,000560.SZ,20200415,20191231,,0.3237,7.71,,1012279200.0,19107084700.0,,
54,000564.SZ,20200415,20191231,,-0.2496,-4.9,,-1315966300.0,51974741200.0,,
55,000566.SZ,20200415,20191231,,-0.13,-3.67,,-142761392.68,10590461036.89,,
56,000571.SZ,20200415,20191231,,-0.676,-52.291,,-421609800.0,3495022200.0,,
57,000584.SZ,20200415,20191231,,0.0667,2.39,,6044156.89,4534081049.86,,
58,000587.SZ,20200417,20191231,,-2.79,-177.46,,-6060413423.13,22398183932.25,,
59,000592.SZ,20200415,20191231,,0.0071,0.43,,3605000.0,4249928600.0,,
60,000593.SZ,20200415,20191231,,0.114,4.16,,65108300.0,1966522800.0,,
61,000595.SZ,20200415,20191231,,-0.407,-57.57,,-300809108.52,1524548101.11,,
62,000597.SZ,20200415,20191231,,0.2,4.68,,215521927.02,12544559910.08,,
63,000598.SZ,20200304,20191231,,0.36,10.02,,1303473428.98,25337512202.06,,
64,000599.SZ,20200407,20191231,,-0.33,-7.73,,-319808500.0,9882989300.0,,
65,000606.SZ,20200415,20191231,,-1.3342,-45.21,,-839714000.0,2802431400.0,,
66,000607.SZ,20200415,20191231,,0.02,1.1,,54271700.0,3562144000.0,,
67,000608.SZ,20200415,20191231,,-0.11,-2.79,,-37525000.0,5782216000.0,,
68,000610.SZ,20200413,20191231,,-0.13,-3.53,,-40408900.0,1239467400.0,,
69,000611.SZ,20200415,20191231,,0.0378,3.26,,-13265214.34,1706236023.67,,
70,000615.SZ,20200415,20191231,,0.02,0.64,,257585900.0,10218205700.0,,
71,000616.SZ,20200415,20191231,,0.02,0.7,,4444200.0,6062330400.0,,
72,000620.SZ,20200411,20191231,,0.43,10.45,,1394483500.0,53073366700.0,,
73,000622.SZ,20200415,20191231,,0.0279,6.03,,,316407777.77,,
74,000625.SZ,20200415,20191231,,-0.55,-5.86,,-2107108100.0,97692177400.0,,
