,ts_code,trade_date,circ_mv,float_share,pb,pe
0,000001.SZ,20200417,25014015.2045,1940575.268,0.9162,8.8719
1,000002.SZ,20200417,25958934.3549,971517.0043,1.6058,7.7689
2,000004.SZ,20200417,244041.3491,8392.0684,3.4867,
3,000005.SZ,20200417,291993.1628,105794.6242,1.9012,19.633
4,000006.SZ,20200417,624266.591,134830.7972,0.928,7.8018
5,000007.SZ,20200417,248703.1754,30894.8044,13.2147,
6,000008.SZ,20200417,858225.7689,266529.7419,1.2006,27.5469
7,000009.SZ,20200417,1635687.1132,254383.6879,3.0775,77.5765
8,000010.SZ,20200417,202050.1837,52209.3498,7.0385,
9,000011.SZ,20200417,460110.8053,52644.2569,1.6547,6.3693
10,000012.SZ,20200417,878939.9576,195755.0017,1.4618,30.8098
11,000014.SZ,20200417,165801.6637,20170.5187,1.8605,78.6342
12,000016.SZ,20200417,1181464.982,159657.43,2.2062,43.3242
13,000017.SZ,20200417,109376.1439,30298.1008,278.6769,
14,000019.SZ,20200417,302790.0497,41592.0398,1.9127,27.2125
15,000020.SZ,20200417,167940.3175,18116.5391,7.961,796.6272
16,000021.SZ,20200417,3029752.406,146932.7064,4.695,57.2324
17,000023.SZ,20200417,245876.0573,13875.624,5.1885,93.4162
18,000025.SZ,20200417,736852.1283,39277.832,6.3626,36.8128
19,000026.SZ,20200417,306398.6771,35669.229,1.4439,17.6236
20,000027.SZ,20200417,2132896.4792,396449.1597,0.8902,30.8813
21,000028.SZ,20200417,1574267.6486,36773.3625,1.4312,15.1379
22,000029.SZ,20160913,995984.22,89166.0,4.5845,37.5261
23,000030.SZ,20200417,901059.0054,175988.087,1.4493,10.5146
24,000031.SZ,20200417,977596.6744,181372.2958,1.1902,9.7136
25,000032.SZ,20200417,714811.0011,41128.366,5.0561,67.1083
26,000034.SZ,20200417,1213863.7189,48111.9191,3.7744,23.5272
27,000035.SZ,20200417,1122576.3065,236830.4444,1.1676,55.2569
28,000036.SZ,20200417,511833.0865,147502.3304,1.0866,5.3159
29,000037.SZ,20200417,403622.7671,33889.4011,3.5845,288.2983
30,000038.SZ,20200417,215129.5881,23157.1139,1.8424,
31,000039.SZ,20200417,1150100.8106,152533.264,0.7669,17.5325
32,000040.SZ,20200417,346731.3991,106034.067,0.362,4.3499
33,000042.SZ,20200417,629754.5433,66220.2464,0.8288,14.1542
34,000045.SZ,20200417,314884.4367,45701.6599,1.2865,178.321
35,000046.SZ,20200417,1925086.8435,517496.4633,0.9002,20.7661
36,000048.SZ,20200417,921159.2279,40242.8671,6.9084,21.0634
37,000049.SZ,20200417,773768.8923,20524.3738,3.5536,15.5549
38,000050.SZ,20200417,2472700.4606,182892.0459,1.0368,33.3877
39,000055.SZ,20200417,277418.1167,67828.3904,0.9096,2.0455
40,000056.SZ,20200417,312690.1589,90372.8783,0.746,44.8292
41,000058.SZ,20200417,365866.93,53803.9603,4.4502,301.6745
42,000059.SZ,20200417,814114.4922,159943.9081,0.639,8.1989
43,000060.SZ,20200417,1295328.4308,356839.7881,1.185,15.207
44,000061.SZ,20200417,1076589.308,169541.6233,2.1346,251.9629
45,000062.SZ,20200417,1249389.507,104464.0056,2.4149,19.8547
46,000063.SZ,20200417,13899645.068,347491.1267,5.4108,35.8362
47,000065.SZ,20200417,493368.977,67308.1824,1.2228,9.5735
48,000066.SZ,20200417,2901668.19,249070.2309,4.1076,34.5591
49,000068.SZ,20200417,323141.5399,100667.1464,6.111,
50,000069.SZ,20200417,4467318.6047,703514.7409,0.8356,4.9189
51,000070.SZ,20200417,745062.8689,79515.7811,2.8539,27.7545
52,000078.SZ,20200417,1245431.3838,262196.0808,2.0578,31.6434
53,000088.SZ,20200417,873990.0,194220.0,1.2309,24.3159
54,000089.SZ,20200417,1609854.0646,205076.9509,1.3346,27.1149
55,000090.SZ,20200417,1100496.8361,186841.5681,1.4119,8.9029
56,000096.SZ,20200417,543542.272,51084.8,2.0705,44.9891
57,000099.SZ,20200417,383642.5759,60607.042,1.1732,18.1424
58,000100.SZ,20200417,5836570.5937,1266067.3739,2.0711,23.8242
59,000150.SZ,20200417,386875.3162,80599.0242,1.7425,23.7463
60,000151.SZ,20200417,213235.1736,26654.3967,2.4975,270.5738
61,000153.SZ,20200417,234606.877,31197.723,1.7802,38.5269
62,000155.SZ,20200417,504190.0,127000.0,1.4274,16.7532
63,000156.SZ,20200417,1240606.1816,128029.5337,1.2779,21.5607
64,000157.SZ,20200417,4126377.8644,641738.3926,1.3027,11.5808
65,000158.SZ,20200417,1469435.9378,156991.019,2.5282,80.4584
66,000159.SZ,20200417,244669.1704,48068.5993,1.1138,40.8325
67,000166.SZ,20200417,9937676.6644,2253441.4205,1.3271,19.2534
68,000301.SZ,20200417,609118.2225,121823.6445,1.4373,12.4832
69,000333.SZ,20200417,34185921.5554,682489.9492,3.5647,17.2955
70,000338.SZ,20200417,5709527.1856,424500.1625,2.3596,11.7201
71,000400.SZ,20200417,1527529.2621,100827.014,1.8786,35.8329
72,000401.SZ,20200417,2643232.9871,134721.3551,2.1376,9.7899
73,000402.SZ,20200417,2013663.662,298763.1546,0.5804,6.1634
74,000403.SZ,20200417,983568.4548,27140.4099,12.3271,123.5042
75,000404.SZ,20200417,242423.3565,69462.2798,0.7558,79.3115
76,000407.SZ,20200417,297752.9022,87574.383,1.2355,22.4264
77,000408.SZ,20200417,270360.5545,47348.6085,1.4414,13.3908
78,000409.SZ,20200417,173204.5412,40563.1244,4.1252,
79,000410.SZ,20200417,833733.5642,168091.4444,7.4532,
80,000411.SZ,20200417,241731.7048,20731.7071,1.9492,30.928
81,000413.SZ,20200417,1464110.7495,486415.5314,0.5182,7.9719
82,000415.SZ,20200417,1021650.222,354739.6604,0.4718,7.8143
83,000416.SZ,20200417,238706.853,53164.1098,2.703,84.0954
84,000417.SZ,20200417,348225.2706,77902.7451,0.8788,21.8418
85,000419.SZ,20200417,224922.053,54328.9983,0.7724,15.9119
86,000420.SZ,20200417,470747.9307,196965.6614,1.5647,51.8081
87,000421.SZ,20200417,238793.7715,57264.6934,0.9178,23.5937
88,000422.SZ,20200417,236124.8148,89781.2984,18.8587,8.7857
89,000423.SZ,20200417,1769364.949,65386.7313,1.7742,
90,000425.SZ,20200417,4085101.8434,699503.7403,1.6426,22.3629
91,000426.SZ,20200417,786063.2549,146108.4117,1.8397,
92,000428.SZ,20200417,381061.9241,101888.215,1.4754,75.8599
93,000429.SZ,20200417,904124.3183,130277.2793,1.4771,11.5286
94,000430.SZ,20200417,162220.2732,33173.88,1.2353,74.9721
95,000488.SZ,20200417,864514.6604,165933.716,0.8548,9.1352
96,000498.SZ,20200417,601483.1281,112008.0313,1.0758,9.0642
97,000501.SZ,20200417,841461.9515,76775.7255,0.8902,8.0272
98,000502.SZ,20200417,126510.0903,18334.7957,6.459,
99,000503.SZ,20200417,1124426.5772,89882.2204,9.1925,
100,000504.SZ,20200417,222752.6851,31067.3201,122.5061,
101,000505.SZ,20200417,316779.6887,40612.7806,2.2232,40.1162
102,000506.SZ,20200417,236811.0951,92867.0961,2.2608,56.1508
103,000507.SZ,20200417,392249.0387,77214.3777,0.9112,21.2933
104,000509.SZ,20200417,113916.2225,82547.9873,,
105,000510.SZ,20200417,224187.4961,54947.9157,2.5387,24.8293
106,000513.SZ,20200417,2457132.6339,59639.1416,3.4521,29.5877
107,000514.SZ,20200417,338352.157,84377.0965,1.0387,12.8344
108,000516.SZ,20200417,821754.6986,192900.164,1.6764,3.8441
109,000517.SZ,20200417,801426.7314,303570.7316,1.2536,13.814
110,000518.SZ,20200417,503442.9539,102953.5693,8.2059,
111,000519.SZ,20200417,1195292.03,139149.2468,1.4609,34.4549
112,000520.SZ,20200417,362325.8769,101208.3455,8.8601,112.7216
113,000521.SZ,20200417,267841.392,87244.7531,0.6407,56.8184
114,000523.SZ,20200417,386826.3829,62694.7136,2.0286,63.1053
115,000524.SZ,20200417,174000.6214,27230.1442,1.6042,20.9042
116,000525.SZ,20200417,583132.5504,57451.4828,1.2166,9.2588
117,000526.SZ,20200417,406231.9369,9619.5107,41.1616,313.6731
118,000528.SZ,20200417,998978.1505,146263.2724,0.9945,12.7579
119,000529.SZ,20200417,394929.8733,56988.4377,2.5296,24.2018
120,000530.SZ,20200417,208016.296,59774.7977,0.8697,26.5547
121,000531.SZ,20200417,485723.7194,68508.282,1.1896,59.2775
122,000532.SZ,20200417,356879.3004,34348.3446,4.2189,50.5711
123,000533.SZ,20200417,198621.696,68490.24,3.2737,
124,000534.SZ,20200417,479711.4137,49150.7596,4.8337,67.9134
125,000536.SZ,20200417,464197.7125,276308.1622,0.7779,
126,000537.SZ,20200417,270765.8579,40594.5814,0.9128,4.9645
127,000538.SZ,20200417,5129258.1397,60216.6957,2.8681,26.0077
128,000539.SZ,20200417,914298.7203,255390.704,0.718,39.6154
129,000540.SZ,20200417,2302783.2812,695704.9188,1.2814,15.8076
130,000541.SZ,20200417,486939.812,107255.4652,1.3017,21.0936
131,000543.SZ,20200417,703625.6194,179039.5978,0.6802,16.0153
132,000544.SZ,20200417,667658.8743,97468.4488,1.1139,14.3713
133,000545.SZ,20200417,252323.0142,95940.3096,1.2474,25.4336
134,000546.SZ,20200417,541068.3228,65903.5716,1.4114,11.6585
135,000547.SZ,20200417,1855118.392,120540.5063,3.3161,55.1278
136,000548.SZ,20200417,184699.8601,49918.8811,1.082,33.3679
137,000550.SZ,20200417,638228.0576,51846.3085,1.0123,71.8897
138,000551.SZ,20200417,289258.1328,40008.0405,1.6141,25.6196
139,000552.SZ,20200417,516125.5252,228374.1262,0.6795,9.8497
140,000553.SZ,20200417,498139.5542,46861.6702,1.1625,10.8251
141,000554.SZ,20200417,183500.7538,36264.9711,2.6969,1296.1444
142,000555.SZ,20200417,1594197.8358,94108.4909,3.1226,43.7644
143,000557.SZ,20200417,428627.3622,145791.6198,0.8619,95.7221
144,000558.SZ,20200417,337566.0017,128841.9854,2.613,
145,000559.SZ,20200417,1412365.6289,275314.9374,2.7158,19.5458
146,000560.SZ,20200417,591459.873,179775.0374,0.7674,12.2813
147,000561.SZ,20200417,386598.1349,59660.206,2.6303,43.0899
148,000563.SZ,20200417,1411188.5732,396401.2846,1.3118,44.1722
149,000564.SZ,20200417,387137.9147,200589.5931,0.3918,15.2078
150,000565.SZ,20200417,202921.159,43359.222,1.7899,31.2634
151,000566.SZ,20200417,997698.5662,120349.6461,2.4647,92.6264
152,000567.SZ,20200417,193391.3271,21778.3026,1.3323,47.1973
153,000568.SZ,20200417,11437004.7757,146010.5295,6.1819,32.9162
154,000570.SZ,20200417,178947.8318,41137.4326,1.1578,97.9354
155,000571.SZ,20200417,208474.3703,80804.0195,2.695,
156,000572.SZ,20200417,341568.2866,164215.5224,0.6952,40.1526
157,000573.SZ,20200417,166710.9708,62909.8003,0.9961,26.3895
158,000576.SZ,20200417,276049.9496,42798.4418,2.5427,29.0949
159,000581.SZ,20200417,1605225.2503,83649.049,1.1773,8.0806
160,000582.SZ,20200417,1219059.666,126721.379,1.6388,24.3508
161,000584.SZ,20200417,317107.4403,59831.5925,1.8777,27.0099
162,000585.SZ,20200417,97507.3565,60942.0978,107.1043,95.7375
163,000586.SZ,20200417,215298.72,19344.0,8.8033,256.8868
164,000587.SZ,20200417,171034.6709,121301.185,8.172,
165,000589.SZ,20200417,306308.4001,77546.4304,0.8776,35.7306
166,000590.SZ,20200417,236853.6368,22323.6227,4.0838,59.8646
167,000591.SZ,20200417,680391.0423,203709.8929,0.7587,11.65
168,000592.SZ,20200417,453576.3864,191382.4415,1.4308,173.7601
169,000593.SZ,20200417,175298.2696,35848.3169,1.8249,
170,000595.SZ,20200417,186436.9388,75176.185,4.9684,
171,000596.SZ,20200417,4883228.0,38360.0,7.4647,37.8168
172,000597.SZ,20200417,659529.0779,83909.5519,1.9077,36.5236
173,000598.SZ,20200417,1433384.929,298621.8602,1.2745,13.2561
174,000599.SZ,20200417,293258.169,76769.1542,0.9336,115.0432
175,000600.SZ,20200417,485069.6361,109004.4126,0.6955,12.466
176,000601.SZ,20200417,621983.2648,107983.2057,1.2873,20.5469
177,000603.SZ,20200417,684147.1731,57880.4715,3.6234,18.1864
178,000605.SZ,20200417,226406.8212,35265.86,1.0748,37.8098
179,000606.SZ,20200417,291367.0617,70720.1606,1.8852,33.823
180,000607.SZ,20200417,365439.2066,88484.0694,2.5316,39.9609
181,000608.SZ,20200417,388397.363,74980.1859,1.3443,338.8478
182,000609.SZ,20200417,136351.7282,29197.3722,0.9726,
183,000610.SZ,20200417,205158.7702,23527.3819,2.4524,
184,000611.SZ,20200417,118478.0802,31934.7925,3.1109,
185,000612.SZ,20200417,438309.029,119105.7144,1.017,41.14
186,000613.SZ,20200417,170161.024,26587.66,29.6897,3079.3893
187,000615.SZ,20200417,306541.9695,74949.1368,1.7449,20.3385
188,000616.SZ,20200417,328953.9178,143023.4425,0.7536,9.4299
189,000617.SZ,20200417,2061532.3872,204517.1019,1.084,11.6807
190,000619.SZ,20200417,176760.0,36000.0,0.7157,152.3751
191,000620.SZ,20200417,544328.3457,189661.4445,0.6864,4.588
192,000622.SZ,20200417,187099.44,42522.6,9.2366,593.4711
193,000623.SZ,20200417,1830708.9376,114205.1739,0.8654,19.9355
194,000625.SZ,20200417,3869438.3212,390064.3469,1.0805,69.9872
195,000626.SZ,20200417,307132.5168,46394.64,1.2904,75.3906
196,000627.SZ,20200417,2465693.0115,430312.9165,1.3339,15.9408
197,000628.SZ,20200417,158091.4659,18798.034,2.5874,25.0528
198,000629.SZ,20200417,1642168.1093,746440.0497,2.0239,13.3162
199,000630.SZ,20200417,2094760.6398,1052643.5376,1.1401,29.5552
200,000631.SZ,20200417,698133.0012,243251.9168,1.0727,11.4744
201,000632.SZ,20200417,202020.6445,46548.5356,1.5252,60.9924
202,000633.SZ,20200417,154811.8574,38510.4123,9.4791,316.404
203,000635.SZ,20200417,217313.8106,30308.7602,0.8134,42.5397
204,000636.SZ,20200417,1665133.5865,89523.3111,3.0041,16.3702
205,000637.SZ,20200417,168587.6848,36649.4967,2.5433,64.1977
206,000638.SZ,20200417,134898.4,30940.0,9.6637,
207,000639.SZ,20200417,610289.7271,107634.8725,1.2939,13.0648
208,000650.SZ,20200417,790863.4072,118039.3145,2.2385,16.382
209,000651.SZ,20200417,32655457.7669,596991.9153,2.988,12.5582
210,000652.SZ,20200417,1388614.6193,147411.3184,2.8914,44.0392
211,000655.SZ,20200417,316721.0024,59534.023,1.2287,17.6322
212,000656.SZ,20200417,4256067.1134,524792.4924,1.5129,7.6297
213,000657.SZ,20200417,429303.8869,77352.0517,1.4844,35.9553
214,000659.SZ,20200417,276426.0418,128570.252,3.7519,123.4215
215,000661.SZ,20200417,9436257.0302,16999.202,13.8948,63.2842
216,000662.SZ,20200417,445936.1374,109298.0729,0.7784,29.5613
217,000663.SZ,20200417,108900.8938,25503.7222,2.5067,
218,000665.SZ,20200417,541953.5757,98179.9956,0.8178,29.5588
219,000666.SZ,20200417,265340.9645,29351.8766,0.7241,12.9816
220,000667.SZ,20200417,670564.2092,244731.4632,0.9523,27.1671
221,000668.SZ,20200417,173092.3037,14668.8393,1.7782,196.2756
222,000669.SZ,20200417,147950.9563,66644.5749,1.1754,
223,000670.SZ,20200319,135037.6394,60016.7286,12.2789,
224,000671.SZ,20200417,2847278.5404,400461.1168,1.4509,9.619
225,000672.SZ,20200417,1916074.7962,81361.9871,3.5288,8.2183
226,000673.SZ,20200417,221062.9002,78951.0358,140.1835,
227,000676.SZ,20200417,541377.3266,65383.7351,1.6468,15.3894
228,000677.SZ,20200417,282520.789,86397.7948,10.1445,2122.9174
229,000678.SZ,20200417,272090.1838,45961.1797,2.2684,
230,000679.SZ,20200417,107974.2385,35635.0622,1.8563,
231,000680.SZ,20200417,418544.2531,105692.9932,1.4425,86.7437
232,000681.SZ,20200417,959368.6512,66117.7568,3.2981,31.647
233,000682.SZ,20200417,479231.1451,97802.2745,2.0152,26.5882
234,000683.SZ,20200417,696861.8543,355541.7624,0.7616,5.9137
235,000685.SZ,20200417,963733.7993,125322.9908,0.8761,16.5247
236,000686.SZ,20200417,1954278.184,234045.2915,1.2541,19.4054
237,000687.SZ,20200417,301864.0887,75277.8276,3.5795,
238,000688.SZ,20200417,2121055.1638,113729.4994,9.8127,124.141
239,000690.SZ,20200417,1100416.7756,208412.2681,1.2619,24.8194
240,000691.SZ,20200417,126652.0268,29048.63,18.738,128.1026
241,000692.SZ,20200417,143852.1876,53278.588,1.2979,240.6537
242,000695.SZ,20200417,163186.9055,22172.1339,4.3289,44.7772
243,000697.SZ,20200417,515358.5605,56570.6433,4.0081,249.2027
244,000698.SZ,20200417,289133.294,78568.8299,0.8117,
245,000700.SZ,20200417,707799.071,80706.8496,2.7798,731.2338
246,000701.SZ,20200417,171590.7096,40661.3056,0.6627,76.179
247,000702.SZ,20200417,149315.3626,26663.4576,2.768,159.412
248,000703.SZ,20200417,3050920.228,254455.3985,1.4657,17.3656
249,000705.SZ,20200417,210923.762,28198.3639,1.4789,11.8128
250,000707.SZ,20200417,138314.991,46414.4265,8.434,10.1894
251,000708.SZ,20200417,1203515.9094,44940.848,3.1494,14.7606
252,000709.SZ,20200417,2282631.9092,1061689.2601,0.4786,6.2957
253,000710.SZ,20200417,629570.2043,14150.825,6.7757,40.3883
254,000711.SZ,20200417,297233.2637,76804.4609,0.9566,38.6361
255,000712.SZ,20200417,1002159.9674,79599.6797,3.3751,159.8335
256,000713.SZ,20200417,380767.9828,38853.8758,2.6118,80.8073
257,000715.SZ,20200417,226621.2634,41505.7259,1.5349,14.7086
258,000716.SZ,20200417,245378.0469,66498.1157,1.0002,45.97
259,000717.SZ,20200417,921838.8002,241952.441,1.1525,5.0552
260,000718.SZ,20200417,723381.6403,228918.2406,1.1681,7.7906
261,000719.SZ,20200417,449657.444,66714.7543,0.8303,9.3927
262,000720.SZ,20200417,480947.22,86346.0,2.8587,6.6947
263,000721.SZ,20200417,208313.8316,43580.2995,4.1864,
264,000722.SZ,20200417,271068.4367,46415.8282,0.9135,19.5922
265,000723.SZ,20200417,2673378.9515,377595.8971,3.5531,16.1489
266,000725.SZ,20200417,13171442.5777,3385974.9557,1.5602,39.4063
267,000726.SZ,20200417,481404.1964,56107.7152,1.0015,9.0726
268,000727.SZ,20200417,436667.7303,293065.5908,1.6274,
269,000728.SZ,20200417,2424664.6608,294612.96,1.094,30.2918
270,000729.SZ,20200417,1460496.1292,250944.3521,1.2104,91.2082
