,ts_code,ann_date,f_ann_date,end_date,accounts_receiv,cap_rese,intan_assets,total_cur_assets,total_cur_liab,total_share,undistr_porfit
0,000001.SZ,20200214,20200214,20191231,,80816000000.0,4361000000.0,,,19406000000.0,113370000000.0
1,000002.SZ,20200318,20200318,20191231,1988075737.67,12384484513.99,5269647193.3,1438989354552.98,1272610284010.69,11302143001.0,95352036928.77
2,000006.SZ,20200409,20200409,20191231,15153277.16,484321623.07,,12475939203.92,5153923690.79,1349995046.0,3103787189.84
3,000011.SZ,20200318,20200318,20191231,216923663.25,80488045.38,700369.66,9458354001.67,5200678293.3,595979092.0,2457119795.39
4,000014.SZ,20200327,20200327,20191231,43520.88,9965893.97,56291.85,1852455940.72,976442449.77,201705187.0,448616160.47
5,000025.SZ,20200403,20200403,20191231,112613224.27,431449554.51,50561225.67,684337128.0,300284118.12,431058320.0,387423510.78
6,000026.SZ,20200320,20200320,20191231,397471106.98,1081230215.32,38711821.26,2660502096.9,1097759594.45,442968881.0,966840818.4
7,000029.SZ,20200314,20200314,20191231,62059055.68,978244910.11,,4166705581.12,1372283815.44,1011660000.0,1464915816.81
8,000031.SZ,20200331,20200331,20191231,323156871.58,7731008781.73,1892792820.85,133779512536.06,84836794709.34,4286313339.0,6381851588.59
9,000034.SZ,20200331,20200331,20191231,7038877340.76,2376124753.8,2450600309.82,23355495599.43,22510928065.86,654070434.0,1261899895.7
10,000037.SZ,20200320,20200320,20191231,178150580.32,362770922.1,43602166.44,1623611118.54,1021615659.25,602762596.0,706830892.54
11,000039.SZ,20200327,20200327,20191231,18394971000.0,4881311000.0,5157551000.0,90023127000.0,70551310000.0,3584504000.0,21482857000.0
12,000045.SZ,20200314,20200314,20191231,365325029.38,1974922248.03,36517996.34,2226674240.35,485575398.93,509338429.0,49307764.03
13,000049.SZ,20200417,20200417,20191231,3924910682.84,40715531.26,178839406.51,7189533123.56,5355778126.58,207197738.0,1892903657.51
14,000050.SZ,20200318,20200318,20191231,5832824938.21,21081850347.63,2070999108.86,14396703383.89,20408692687.54,2048123051.0,3426521410.97
15,000055.SZ,20200418,20200418,20191231,1956191307.07,1454191.59,78322265.05,4703109802.06,4509814065.72,1123384189.0,3898626177.99
16,000059.SZ,20200403,20200403,20191231,133620657.5,5959751175.87,1320885720.0,13310688290.72,9045730710.94,1599442537.0,5417563618.6
17,000060.SZ,20200310,20200310,20191231,543089537.78,1549222337.33,3221381744.1,6661762844.08,6267158182.26,3569685327.0,5138614508.89
18,000062.SZ,20200326,20200326,20191231,3220010851.2,647592328.86,170076344.96,7323497118.84,5094999895.22,1045909322.0,3046587012.07
19,000063.SZ,20200328,20200328,20191231,19778280000.0,12144432000.0,7718820000.0,102567174000.0,86370516000.0,4227530000.0,11680365000.0
20,000065.SZ,20200420,20200420,20191231,4323248383.26,914873719.98,1707481040.21,10699354942.72,7939549118.06,769505410.0,2902967516.0
21,000088.SZ,20200409,20200409,20191231,39238935.21,811486445.56,257318377.93,1118940730.78,702909727.82,1942200000.0,3368020586.46
22,000089.SZ,20200328,20200328,20191231,520826003.12,2793899453.24,251079750.78,3183206164.14,1869764882.85,2050769509.0,6228026271.11
23,000090.SZ,20200414,20200414,20191231,2177195030.51,1562217534.93,148887458.35,35349326191.1,22909119249.19,1868545434.0,3256087253.17
24,000096.SZ,20200331,20200331,20191231,2988776.84,351337074.07,107007167.24,1625620945.55,150225352.41,528000000.0,1327957391.29
25,000099.SZ,20200324,20200324,20191231,676952740.28,1033272130.81,92086080.63,2356734829.44,1446930285.49,606070420.0,1387712190.79
26,000100.SZ,20200331,20200331,20191231,8340354000.0,5716667000.0,5684584000.0,48155523000.0,43057791000.0,13528439000.0,11115150000.0
27,000151.SZ,20200325,20200325,20191231,45148826.48,442026869.65,20657309.43,1952230093.48,1439356574.01,295980000.0,58928070.61
28,000157.SZ,20200331,20200331,20191231,25403952986.58,13466666039.15,4047921280.51,63182119187.97,34583442377.52,7874974858.0,17430361239.38
29,000166.SZ,20200328,20200328,20191231,,19367146136.46,143715460.1,,,25039944560.0,23464175130.39
30,000301.SZ,20200409,20200409,20191231,254452347.32,4500257361.05,1431221750.72,10457384751.61,13289510033.21,4029053222.0,2039310549.38
31,000338.SZ,20200327,20200327,20191231,14285262297.09,118896726.65,23435580132.59,126185085067.8,105876772703.78,7933873895.0,37282373385.43
32,000400.SZ,20200410,20200410,20191231,8089253997.45,830419499.48,624954087.41,12687985990.85,5896036891.97,1008327309.0,5774025943.97
33,000401.SZ,20200319,20200319,20191231,2025943635.02,3329428524.94,5208177789.43,17406972405.12,22408982204.67,1347522914.0,6712639014.69
34,000404.SZ,20200411,20200411,20191231,1502619649.48,1581808768.28,298071411.5,7965781318.93,5572939041.66,695995979.0,868623769.44
35,000407.SZ,20200328,20200328,20191231,417963503.31,1012999291.05,113470265.92,2074367759.9,3011368825.54,880084656.0,377569059.69
36,000409.SZ,20200328,20200328,20191231,264287482.38,669107479.15,551961313.89,2046062413.92,2201425132.66,510931158.0,-648658772.73
